question_num,question,a,b,c,d,correct_answer
1,Nhà nước do giai cấp thống trị lập nên để bảo vệ quyền và lợi ích của giai cấp mình là quan điểm của học thuyết?,Mác - Lênin,Thần học,Gia trưởng,Khế ước xã hội,a
2,Theo quan điểm của chủ nghĩa Mác-Lênin thì nguyên nhân chủ yếu làm xuất hiện Nhà nước là?,Do có sự phân hóa lao động trong xã hội,Do có sự phân hóa giai cấp và đấu tranh giai cấp trong xã hội,"Do địa hình, khí hậu không thuận lợi nên con người phải hợp sức lại để phát triển sản xuất",Do các thành viên trong xã hội lập ra,b
3,Nhà nước chưa ra đời trong hình thái kinh tế - xã hội nào sau đây?,Hình thái kinh tế - xã hội Công xã nguyên thủy,Hình thái kinh tế - xã hội Cộng sản nguyên thủy,Hình thái kinh tế - xã hội Cộng sản chủ nghĩa,Hình thái kinh tế - xã hội Chiếm hữu nô lệ,b
4,Nước nào sau đây có hình thức cấu trúc nhà nước liên bang?,Việt Nam,Pháp,Nga,Xingapo,c
5,Nhà nước nào sau đây có hình thức cấu trúc là nhà nước đơn nhất?,Mêxicô,Thụy Sĩ,Việt Nam,Nga,c
6,Nhà nước CHXHCN Việt Nam có hình thức cấu trúc là?,Nhà nước đơn nhất,Nhà nước liên bang,Nhà nước liên minh,Nhà nước độc tài,a
7,Nhà nước nào sau đây có hình thức chính thể cộng hòa tổng thống?,Đức,Ấn Độ,Anh,Tất cả đều sai,d
8,"Nhà nước là hiện tượng xã hội mang tính lịch sử, đây là khẳng định về nguồn gốc của nhà nước theo quan điểm của…?",Aristote,J.J.Rousseau,Plato,Chủ nghĩa Mác-Lênin,d
9,Tổ chức thị tộc trong xã hội Cộng sản nguyên thủy là?,Một tổ chức kinh tế,Một tập đoàn người có cùng quan hệ huyết thống,Một xã hội độc lập,Một đơn vị độc lập,b
10,Kiểu nhà nước đầu tiên trong lịch sử xã hội loài người là?,Nhà nước cộng sản nguyên thủy,Nhà nước phong kiến,Nhà nước chủ nô,Nhà nước tư sản,c
11,Quyền hành pháp được hiểu là?,Quyền ban hành và triển khai thực hiện pháp luật,Quyền ban hành pháp luật,Quyền tổ chức thực hiện pháp luật,Quyền bảo vệ pháp luật,c
12,Tổ chức nào có quyền phân chia lãnh thổ thành các đơn vị hành chính?,Đảng cộng sản,Mặt trận Tổ quốc,Công đoàn,Nhà nước,d
13,Kiểu nhà nước mà trong đó giai cấp thống trị chiếm đa số trong xã hội là…,Chủ nô,Phong kiến,Tư sản,Xã hội chủ nghĩa,d
14,"Cách thức và trình tự thành lập ra các cơ quan quyền lực tối cao của nhà nước, đó là",Hình thức chính thể,Hình thức cấu trúc nhà nước,Chế độ chính trị,Hình thức nhà nước,a
15,Người ở độ tuổi phải chịu trách nhiệm hình sự về tội phạm rất nghiêm trọng do cố ý hoặc tội phạm đặc biệt nghiêm trọng là…,từ đủ 14 đến dưới 16,từ 14 đến đủ 16,từ đủ 16 đến dưới 18,từ 16 đến đủ 18,a
16,Trách nhiệm pháp lý được áp dụng đối với người vi phạm pháp luật nhằm…,"giáo dục, răn đe, hành hạ",buộc chủ thể vi phạm pháp luật chấm dứt hành vi trái pháp luật,xử phạt hành chính,phạt tù hoặc tử hình,b
17,"Vi phạm pháp luật hành chính là hành vi vi phạm pháp luật, xâm phạm tới…",quan hệ xã hội và quan hệ kinh tế,các quy tắc quản lý nhà nước,các điều luật và các quan hệ hành chính,quan hệ xã hội và quan hệ hành chính,b
18,Nhà nước nào sau đây có chính thể cộng hòa đại nghị?,Đức,Bồ Đào Nha,Hoa Kỳ,Việt Nam,a
19,Nhà nước quân chủ hạn chế (quân chủ lập hiến) là nhà nước…? theo phương thức thừa kế thức thừa kế và một cơ quan nhà nước khác,Quyền lực nhà nước tối cao thuộc về một cơ quan tập thể và được hình thành,Quyền lực nhà nước tối cao thuộc về một cơ quan tập thể do bầu cử mà ra,Quyền lực nhà nước được phân chia cho người đứng đầu nhà nước theo phương,Quyền lực nhà nước thuộc về một tập thể gồm những người quý tộc và được hình thành do thừa kế,c
20,Trong nhà nước quân chủ chuyên chế thì…,Quyền lực nhà nước tối cao thuộc về một một cơ quan tập thể và do bầu cử mà ra,Quyền lực nhà nước tối cao thuộc về một người và được hình thành do bầu cử,Quyền lực nhà nước thuộc về một người và được hình thành theo phương thức thừa kế,"Quyền lực nhà nước thuộc về một tập thể, được hình thành theo phương thức thừa kế",c
